,addr,rssi
0,2c:03:8a:cb:48:26,-75
1,78:cb:cf:e3:5f:c2,-73
2,63:72:74:68:19:54,-66
3,74:90:50:40:59:7a,-72
4,c2:dc:f8:b0:fe:6d,-79
5,c8:9c:3c:d6:b0:64,-71
6,35:bd:00:da:d7:c2,-79
7,48:f5:82:cc:47:e0,-79
8,55:ff:31:28:2a:af,-79
9,6d:fe:91:96:b7:47,-79
10,3a:a0:0a:a7:76:f2,-79
11,14:ae:78:14:06:98,-79
12,09:7d:8d:0d:41:21,-79
13,65:43:9a:b9:cb:7e,-79
14,09:3a:4b:ec:0f:ad,-78
15,57:95:74:bb:f3:48,-77
16,54:2f:8c:41:b5:16,-79
17,73:ec:72:a2:56:5e,-79
18,f5:6d:35:6a:3f:85,-79
19,d1:0c:d6:98:bd:f6,-79
20,3b:7c:14:3e:f0:e9,-79
21,7c:e1:0d:99:b8:8c,-79
22,2d:39:5e:fa:c0:ac,-79
23,6a:94:31:4e:ad:cf,-79
