,addr,rssi
0,c2:b5:28:93:eb:0e,-75
1,74:90:50:40:59:7a,-77
2,72:0e:11:75:62:95,-71
3,08:0f:ac:20:bc:6a,-67
4,6c:d3:a2:54:8e:00,-69
5,0a:7b:2d:77:70:f1,-63
6,65:99:1e:30:38:54,-79
7,cb:75:de:9b:25:c5,-75
8,50:bf:7b:72:3a:ee,-78
9,44:1e:95:1b:e2:e3,-60
10,e5:f2:c7:13:a5:9f,-68
11,71:4e:61:69:a0:39,-66
12,ec:2a:70:1e:42:48,-59
13,71:3d:cc:78:61:bd,-69
14,68:d4:f9:1d:40:99,-79
15,fd:45:32:8a:36:2e,-72
16,59:b9:71:b0:d9:b7,-79
17,c3:77:19:b0:02:2b,-53
18,76:bc:ea:9c:64:bd,-79
19,2f:1e:6f:61:df:a5,-79
20,7f:40:8e:4d:db:82,-78
21,d7:36:b5:79:7d:0c,-79
22,73:69:85:ed:c4:53,-68
23,66:81:13:cb:b6:b1,-79
24,71:ba:5d:1b:0b:0c,-63
25,05:65:c6:a8:d5:04,-65
26,d6:c6:78:c5:43:e2,-77
