,addr,rssi
0,48:36:02:f0:78:0c,-72
1,22:76:50:a5:06:cb,-75
2,ef:72:1e:5c:61:dd,-75
3,41:37:ae:bc:c0:5a,-62
4,54:5d:46:2e:84:ef,-62
5,08:aa:77:e3:f9:99,-77
6,67:65:96:98:db:40,-79
7,57:a5:92:ff:88:91,-74
8,2a:fa:69:68:19:d8,-62
9,51:c6:9d:33:59:27,-76
10,54:b6:cf:08:db:1b,-73
11,74:c1:09:f2:26:e0,-63
12,74:90:50:40:59:7a,-73
13,33:e8:9d:5e:46:2e,-62
14,4d:72:4e:17:98:f3,-63
15,cf:b8:ab:b1:cd:d8,-72
16,56:05:97:d5:ca:bd,-79
17,4a:65:5d:fc:0b:80,-79
18,72:1e:e4:19:6e:dc,-79
19,19:76:77:fc:e7:dd,-79
20,f6:2a:98:81:3a:95,-77
21,79:83:ef:41:04:e1,-79
22,77:bd:f6:ca:3d:4f,-79
