,addr,rssi
0,15:6f:3b:6d:54:b0,-60
1,73:b1:d7:ba:22:40,-70
2,63:29:58:b2:7e:57,-66
3,59:af:84:cc:dd:f8,-75
4,35:23:0a:ed:c0:5a,-78
5,1d:06:76:44:df:82,-74
6,45:3a:47:5f:d0:b9,-73
7,f6:f0:bb:fd:48:c2,-68
8,56:03:e6:24:09:d1,-67
9,48:12:3f:68:4a:d3,-61
10,76:8e:ce:a3:48:8a,-67
11,4f:19:9a:ff:80:00,-79
12,74:90:50:40:59:7a,-65
13,5b:d3:06:d4:2e:fd,-75
14,23:17:47:39:13:9b,-77
15,60:a2:14:4b:5a:0d,-79
16,20:bb:7b:f8:21:57,-79
17,55:78:d8:c5:07:64,-77
18,1d:10:6e:c6:10:28,-79
19,68:1b:d9:02:19:16,-79
20,24:a6:69:8b:9a:d7,-79
21,53:7c:30:34:f1:51,-79
22,5f:1d:be:3f:f2:9f,-79
23,e7:ff:b4:b3:b5:b7,-58
24,f0:67:73:93:c0:d1,-61
25,69:5e:23:b1:d4:89,-79
26,7b:9b:e4:a4:16:09,-79
27,5f:da:ad:48:24:8c,-79
28,d2:30:c5:be:4c:9b,-78
29,66:f1:04:44:53:60,-78
30,53:e9:65:ad:1a:7c,-79
31,54:80:0e:7f:c8:f3,-79
32,42:8a:25:0e:42:84,-79
33,5b:d7:b6:4c:40:ab,-79
34,ea:3b:c6:6c:ce:27,-76
35,6b:f2:f6:48:0e:37,-79
36,2d:5b:70:7a:20:d8,-79
