,addr,rssi
0,0d:ab:a7:ca:73:47,-66
1,64:24:58:e6:4d:35,-64
2,78:67:ae:45:30:d0,-64
3,55:0f:e3:d2:3f:8c,-63
4,4c:35:1b:a2:c2:6e,-64
5,48:0e:f5:71:4c:c9,-77
6,7c:61:2c:8c:45:3e,-79
7,64:da:7e:18:b3:f5,-79
8,24:50:24:2e:09:74,-65
9,61:e2:3a:27:e4:7f,-79
10,63:a6:b6:4f:28:fb,-77
11,90:2e:ab:23:14:7e,-79
12,43:32:20:d7:2b:6c,-67
13,49:f6:b6:4d:10:cc,-63
14,02:96:97:99:ef:c2,-64
15,09:ca:41:e0:ed:0a,-79
16,ee:58:45:11:9a:f0,-79
17,42:6c:bd:e6:67:bc,-77
18,fa:2f:c1:5e:5a:e1,-65
19,4d:90:82:af:e8:b1,-61
20,74:90:50:40:59:7a,-74
21,e3:14:e0:eb:6b:3b,-67
22,6c:c6:74:a4:c0:d9,-78
23,c8:b9:bd:45:bb:fa,-79
24,7e:e9:b9:79:00:6c,-79
25,48:ef:26:c2:82:00,-79
26,48:19:c5:09:f0:f1,-79
27,c0:26:e4:88:af:e9,-75
28,18:be:d7:06:5c:f4,-79
29,78:6f:49:26:2e:59,-79
30,6e:dc:e0:88:4f:65,-78
31,2d:2d:37:1d:e2:fc,-79
32,53:95:a7:e2:35:89,-79
33,f7:c5:cb:2b:35:4b,-76
