,addr,rssi
0,36:d8:cd:b4:2b:36,-78
1,2e:97:44:f6:3d:40,-63
2,6c:b1:12:28:08:c8,-50
3,74:90:50:40:59:7a,-72
4,1a:2a:05:3c:c7:6e,-61
5,d3:22:e5:15:5e:7b,-64
6,7b:36:a7:4f:13:93,-79
7,31:18:32:d3:fe:d7,-79
8,7a:b3:e8:b5:73:01,-79
9,66:2c:6f:f6:f8:c1,-79
10,ca:6c:71:f1:f4:f4,-73
11,73:14:01:4f:51:30,-79
12,fa:fb:09:91:6a:f8,-59
13,1b:4e:3e:55:b3:c9,-79
14,5a:e4:3f:32:4d:a8,-78
15,e3:9f:6c:02:b4:80,-75
16,18:f9:6c:b4:2f:62,-79
17,5f:c7:61:90:c8:81,-79
18,06:5c:34:5f:65:35,-79
19,65:c2:17:d0:76:45,-76
20,6c:62:45:8b:2d:9f,-79
21,41:bd:5b:e2:b3:fc,-79
22,79:19:f8:38:be:85,-79
23,62:97:27:d8:98:f9,-79
24,54:c0:38:79:19:b1,-63
25,6e:e8:13:d8:5e:cc,-79
26,20:d1:6c:a4:3a:37,-79
27,50:c8:68:b6:54:68,-77
28,04:34:6d:b6:2e:5d,-79
29,75:3d:ec:72:06:ff,-79
30,4a:ba:64:6b:47:ef,-79
31,16:c0:9e:2e:85:d6,-79
