,addr,rssi
0,f3:55:c8:25:25:a9,-79
1,67:9b:58:e1:0c:91,-76
2,70:f2:84:b9:e3:0f,-77
3,5f:5d:ae:82:78:42,-79
4,65:ee:a0:11:e9:a2,-71
5,2e:92:cb:c7:ff:29,-71
6,5d:a7:0c:5f:24:89,-72
7,1d:c4:7b:59:c4:27,-69
8,5b:e3:6a:a2:0b:48,-77
9,46:b8:cd:46:74:25,-78
10,28:11:a5:22:e8:fa,-69
11,6f:0c:d0:1b:74:04,-68
12,7e:3b:09:b9:20:b1,-71
13,74:1d:96:51:e2:47,-77
14,23:d4:16:77:d5:e8,-72
15,28:11:a5:23:0f:0f,-63
16,74:90:50:40:59:7a,-78
17,13:e9:aa:55:2c:a8,-77
18,cd:bb:87:67:ca:0d,-60
19,ed:ea:f0:0b:d1:bc,-79
20,eb:8c:d6:c3:49:5d,-73
21,5b:db:f5:3e:48:a2,-75
22,d3:04:3b:83:ac:7d,-67
23,56:7d:12:66:a6:af,-76
24,c7:b1:a3:78:3c:22,-64
25,f4:61:60:fd:7a:28,-79
26,c1:33:4a:07:24:9a,-73
27,71:2d:49:8c:17:4d,-79
28,22:b9:c1:be:70:ba,-76
29,7f:a0:1d:5f:d1:7d,-79
30,c1:b3:af:dd:fa:16,-77
31,47:af:97:10:8f:5b,-79
32,08:c9:31:85:42:3c,-79
33,4f:72:fa:eb:d7:b0,-73
34,48:9a:28:81:e7:16,-77
35,65:fb:ce:75:cc:82,-77
36,73:7d:03:89:6a:32,-79
37,6b:a1:ed:2f:54:b0,-79
38,ce:58:bf:69:7f:77,-71
39,65:d5:48:a3:7d:d7,-79
40,16:c3:2a:98:29:95,-79
41,22:11:a3:d7:62:25,-79
42,02:7f:5a:fa:86:57,-79
43,49:fb:dc:22:12:f8,-79
44,00:a0:50:c4:c9:8b,-79
45,77:63:8e:37:ed:12,-77
46,5a:f7:83:42:58:ae,-79
47,14:5b:2c:9f:15:ce,-79
