,addr,rssi
0,77:3e:7f:07:58:8b,-44
1,f1:0f:6e:9e:21:d4,-39
2,56:60:8f:c2:4b:0e,-73
3,5c:31:1a:a6:df:9e,-79
4,12:e4:00:92:49:74,-79
5,74:90:50:40:59:7a,-73
6,11:00:1e:8b:d0:a0,-79
7,76:c1:c5:1e:3e:01,-79
8,69:5d:a1:de:0d:3e,-79
9,6a:f8:34:72:ce:fb,-79
10,d2:72:8b:fe:4e:aa,-79
11,fe:3b:a0:c9:cf:b1,-78
12,63:ec:a5:66:71:98,-79
13,2c:41:a1:5e:6c:0d,-71
14,2c:41:a1:5e:54:91,-73
15,61:8e:80:77:ff:bd,-79
16,1c:36:fc:5c:7a:98,-79
17,43:d0:cb:43:98:1c,-79
18,67:5d:f8:7e:c2:21,-77
19,54:2c:12:f3:7e:fe,-79
20,01:87:5b:9c:16:ee,-79
21,77:88:c8:ae:b6:97,-79
22,00:a0:50:53:1a:db,-79
23,72:bc:3b:ae:9a:f4,-79
24,ff:e7:63:85:ea:05,-72
25,6e:2a:62:64:2c:6b,-79
26,f4:44:df:4b:91:f4,-79
