,addr,rssi
0,10:92:ba:89:eb:75,-72
1,55:60:37:33:d2:78,-79
2,21:3b:9a:e1:ad:1a,-79
3,4c:9a:bc:2e:0a:b7,-66
4,5d:df:8c:68:3b:42,-67
5,47:9d:fe:50:d4:57,-67
6,69:16:f6:fb:2e:c2,-66
7,1d:a0:e8:0a:14:a8,-67
8,74:46:4e:56:c1:03,-65
9,58:0f:56:b7:59:bb,-67
10,72:32:2a:99:52:20,-79
11,e9:f0:c4:fe:33:aa,-70
12,36:d8:f3:da:34:7f,-66
13,68:17:8a:01:f9:90,-73
14,23:97:cd:8d:73:98,-76
15,56:75:c2:a1:76:52,-68
16,4e:1f:fd:b1:53:32,-73
17,17:fb:56:77:23:18,-79
18,df:e9:b5:3e:f3:3c,-75
19,d3:42:5c:41:4e:ed,-66
20,5b:60:15:bf:90:4e,-79
21,1f:9f:17:74:e2:ca,-78
22,61:e9:2f:9d:bf:65,-79
23,62:65:7c:c0:b4:37,-78
24,00:d2:e8:9f:1c:0c,-78
25,47:80:4a:62:20:08,-79
26,73:c5:fe:34:df:fd,-78
27,74:90:50:40:59:7a,-74
28,64:b7:42:2e:b0:88,-79
29,78:8e:97:14:14:45,-79
