,addr,rssi
0,79:c3:ac:32:43:e5,-79
1,76:ca:a8:06:83:94,-69
2,68:6f:76:8a:03:27,-71
3,49:48:3e:dd:ef:b1,-78
4,52:95:85:3b:86:ed,-79
5,4d:54:77:f0:a4:ea,-77
6,38:30:a9:66:1b:52,-79
7,42:4e:ba:d8:c4:eb,-76
8,5a:64:df:5f:0e:b9,-79
9,68:01:46:ac:36:fc,-64
10,c2:17:c5:5b:10:7c,-76
11,55:b7:a1:41:44:d4,-73
12,74:90:50:40:59:7a,-74
13,7c:e0:b8:51:7b:fb,-79
14,64:28:63:49:63:8c,-75
15,1b:7f:e3:b6:fa:b6,-76
16,56:da:4e:3d:7d:43,-79
17,fe:68:4f:4a:6e:4b,-64
18,fe:06:25:56:28:2e,-76
19,56:a3:6a:8e:4b:a6,-79
20,c0:93:fc:18:cd:20,-78
21,ce:01:19:f3:f5:da,-72
22,c1:bd:3d:a6:53:8b,-79
23,f6:02:92:e3:66:4b,-78
24,e3:41:08:92:6f:6b,-78
25,66:27:ac:0a:f8:90,-79
