,addr,rssi
0,03:c0:8b:5c:f2:ae,-77
1,74:90:50:40:59:7a,-75
2,6a:25:b8:c4:05:0a,-69
3,16:b4:a8:ff:77:8d,-68
4,f0:4f:65:21:f8:56,-79
5,58:35:19:37:ec:11,-79
6,4a:e0:1d:0c:b7:71,-77
7,1b:0a:80:4e:c8:24,-79
8,48:e7:48:42:ab:fb,-79
9,18:40:41:04:8e:01,-79
10,44:0c:d5:e6:5d:5f,-79
11,e4:a2:3f:1e:54:c5,-74
12,5b:93:25:bb:98:3c,-78
13,4b:e3:ce:7b:82:9b,-79
14,4d:ef:e4:dd:2f:f0,-79
15,61:40:4b:d4:60:59,-79
16,3f:1a:f1:14:f1:9c,-79
17,43:b1:10:18:ed:24,-78
18,66:2e:1f:5b:59:18,-79
19,6c:08:4e:fc:58:3d,-79
20,0e:0e:a9:2f:91:00,-78
21,27:dc:88:37:8a:33,-79
