,addr,rssi
0,54:59:6a:d6:4f:a9,-74
1,15:2c:24:2a:fb:07,-74
2,4c:21:58:20:47:92,-79
3,66:33:93:45:83:06,-64
4,f8:9d:ac:cf:35:9d,-68
5,3e:b8:c7:1f:2e:08,-79
6,7d:4c:1a:94:80:6c,-74
7,74:1b:e7:1b:5c:50,-64
8,7d:72:ac:e3:98:11,-76
9,40:11:f8:29:b0:2a,-79
10,39:f5:13:52:1a:72,-79
11,74:90:50:40:59:7a,-73
12,14:2a:ac:45:87:65,-79
13,4f:bf:ef:c1:c5:92,-79
14,70:bb:78:7d:19:c6,-76
15,21:60:62:57:a9:57,-79
16,0a:8d:86:f4:21:26,-79
17,50:19:4f:65:eb:77,-79
18,61:f8:f9:ab:fb:e2,-79
19,45:28:e5:36:f8:10,-76
20,65:7b:16:2c:66:7b,-79
21,2c:23:cd:39:2f:33,-79
22,39:a3:38:95:99:3b,-79
23,c8:52:bf:0a:08:ed,-79
24,45:e1:0b:3d:13:99,-79
25,77:b7:e4:99:5b:48,-79
26,0d:fd:11:9e:08:4e,-79
27,18:ac:e1:90:ae:fc,-79
28,75:76:0d:ad:60:3b,-79
29,0b:f8:0d:a3:57:46,-79
30,e9:42:f3:fe:5d:7c,-79
31,6d:7e:14:3c:e7:18,-78
32,31:53:0e:35:57:f9,-74
33,01:ff:4d:f0:d2:f7,-79
34,52:d5:5a:ff:24:c3,-78
35,71:59:b1:bd:a5:06,-79
