,addr,rssi
0,00:a0:50:d6:54:5d,-79
1,61:b6:f6:12:5c:c5,-79
2,7b:c9:8b:0a:c3:73,-73
3,42:9c:f5:48:d3:fd,-79
4,7a:b6:33:18:2a:51,-79
5,50:8f:98:5f:88:44,-65
6,20:b4:a0:50:22:a2,-64
7,30:e1:4c:aa:7c:c1,-79
8,54:20:b2:96:e1:39,-79
9,50:5a:07:1b:0d:0c,-67
10,76:64:d2:12:a5:f0,-73
11,51:76:42:3a:cb:14,-79
12,76:84:07:e8:5c:51,-79
13,7f:84:5e:0a:12:8e,-77
14,2c:a0:80:75:9f:56,-79
15,6c:64:d1:57:7c:6e,-79
16,ef:c1:8f:a3:bb:cd,-79
17,77:36:06:e3:7d:23,-79
18,33:e8:60:48:bc:cf,-79
19,44:79:21:aa:52:30,-79
20,30:51:e1:ad:6a:70,-79
21,73:2f:95:3a:91:7e,-79
22,41:43:14:2f:1f:66,-79
23,de:a8:ca:48:c6:a0,-73
24,17:f3:53:93:86:8a,-78
25,57:e5:b6:e9:58:23,-72
26,d4:8e:1a:90:37:07,-79
27,7c:a4:a3:d1:d8:9f,-79
28,74:d7:ca:e4:d6:67,-79
29,f5:5c:10:7b:ca:42,-79
30,45:56:50:80:1c:71,-78
31,11:44:9b:0d:ca:51,-79
32,4b:df:6c:63:ab:fd,-79
33,66:dc:3c:b9:4c:c8,-79
34,59:5c:7c:2f:72:c9,-79
35,78:90:72:12:f9:87,-79
36,3d:b3:50:f8:a7:c5,-79
37,79:d5:74:10:d0:16,-79
38,3d:a6:73:c8:39:86,-75
39,a4:c1:b5:00:04:24,-79
40,55:68:cc:07:5c:e1,-72
41,4c:7e:53:a8:3b:ef,-74
