,addr,rssi
0,40:6f:a1:f6:11:17,-79
1,ca:46:fc:a8:41:a0,-71
2,64:3a:20:35:a6:1c,-71
3,12:4c:e9:8a:94:64,-75
4,3f:31:17:c4:d9:54,-74
5,3b:7e:2e:0c:50:d2,-79
6,1f:9d:2c:5e:13:b6,-79
7,70:a2:95:ea:1b:fa,-75
8,78:f7:a4:40:51:2f,-78
9,4c:e4:6d:5c:19:6c,-76
10,74:90:50:40:59:7a,-71
11,3e:4d:9f:d4:0b:d4,-79
12,6e:e4:da:f4:45:27,-77
13,42:ea:86:c2:29:68,-79
14,71:8f:71:5d:a6:19,-79
15,42:c9:1b:45:ea:83,-78
16,5f:52:7b:9f:59:a2,-79
17,fc:64:95:7d:10:f9,-79
18,f6:ce:18:b6:dc:5c,-79
19,4c:db:8a:83:67:f3,-78
20,70:19:f5:0a:74:ad,-79
21,00:a0:50:53:1a:68,-79
