,addr,rssi
0,43:fa:7f:2b:18:54,-77
1,53:c5:17:17:ed:33,-75
2,65:cd:16:62:6b:23,-76
3,2d:4d:8e:8f:27:b2,-79
4,59:40:ee:a2:d5:f4,-71
5,61:89:e3:c3:ab:3e,-79
6,4d:20:d2:cb:89:f6,-66
7,74:90:50:40:59:7a,-78
8,42:37:67:f8:26:10,-79
9,39:fa:49:aa:8d:4c,-79
10,65:08:d6:f0:d6:39,-79
11,5d:1e:c7:12:af:92,-79
12,11:27:fb:af:9c:fe,-79
13,55:de:60:51:62:6e,-79
14,78:02:b7:07:01:ef,-79
15,76:9c:57:17:5f:63,-79
16,e5:f8:3c:c9:a0:a4,-79
17,d4:69:e3:7c:e3:c6,-76
18,28:e5:2d:5b:0c:7b,-79
19,0e:af:e9:4f:71:2f,-79
