,addr,rssi
0,61:c6:fd:da:01:d5,-69
1,03:dd:1e:72:c2:5c,-76
2,64:48:5c:b3:d0:c3,-72
3,40:53:dd:a8:a5:7e,-63
4,5a:e2:75:11:9c:22,-73
5,74:90:50:40:59:7a,-71
6,0d:ed:58:c4:e6:b9,-79
7,44:74:d4:2f:a7:95,-79
8,1e:b3:8b:43:fb:ac,-77
9,f7:37:6f:6b:71:c0,-77
10,59:de:16:ca:5f:55,-76
11,22:a2:1e:8a:7a:c9,-79
12,4f:2a:b3:50:e7:4f,-77
13,74:d7:ca:8f:bb:fe,-79
14,44:33:27:bc:7a:7f,-79
15,51:ad:56:21:5c:80,-76
16,db:9a:10:5a:9b:cd,-78
17,4c:60:ff:55:34:ff,-79
18,6a:99:d9:db:1e:19,-79
19,fb:53:0b:44:59:da,-79
