,addr,rssi
0,6c:9e:5e:49:1c:e9,-77
1,2b:41:87:15:64:b5,-79
2,5d:13:07:ba:9f:21,-69
3,09:3b:ed:ff:93:93,-64
4,67:19:d4:14:a6:47,-79
5,45:9e:1e:cf:d3:02,-72
6,61:fc:cc:b1:a5:ba,-76
7,00:a0:50:52:f3:6f,-79
8,74:90:50:40:59:7a,-67
9,f2:80:7a:cc:76:4e,-79
10,7e:10:5b:3c:0a:57,-79
11,e1:5c:d2:53:2f:9f,-72
12,4d:31:92:ad:6a:f2,-79
13,0b:5b:3e:e7:e7:48,-79
14,5c:f9:bf:19:76:41,-79
15,de:ac:dd:80:cc:c3,-71
16,57:46:e2:93:85:14,-79
17,55:4c:e2:d9:26:0d,-78
18,38:55:0d:fc:9f:0a,-79
19,46:9f:ed:8f:02:dc,-75
20,5a:e7:5d:d4:5c:73,-79
21,43:23:11:b3:82:13,-76
22,7c:5f:88:1f:73:54,-79
23,54:13:50:ee:27:48,-79
24,3a:b7:f4:3b:f9:59,-79
