,addr,rssi
0,5b:19:33:5d:0d:ad,-74
1,5c:54:ee:ed:8f:4c,-79
2,58:3e:83:37:b7:bd,-79
3,52:1a:5d:ab:f1:74,-72
4,c2:48:bb:42:5c:ed,-62
5,6a:c0:c2:5d:5c:22,-71
6,25:eb:78:e5:9d:33,-65
7,7a:ae:5a:8e:22:93,-79
8,38:3c:bd:3c:9c:df,-79
9,31:6c:74:22:d5:18,-77
10,f7:f7:85:4f:03:e8,-75
11,eb:21:b0:1f:a7:52,-56
12,7f:da:de:a7:e6:af,-65
13,f1:f8:8a:89:b8:d1,-57
14,6b:eb:76:b7:e9:10,-79
15,e4:63:81:d8:8c:ea,-58
16,fe:66:c1:96:eb:3c,-69
17,ee:07:66:bb:af:54,-66
18,c4:22:f8:ff:32:02,-68
19,6f:e1:7a:64:02:03,-75
20,25:15:3a:ed:50:5c,-78
21,10:67:29:d1:b9:d5,-79
22,70:01:f0:21:9e:ec,-79
23,5e:ea:5b:e4:55:72,-79
24,36:72:fb:2f:a7:45,-78
25,c5:34:10:3a:9e:dc,-78
26,16:c3:aa:22:73:b4,-72
27,74:90:50:40:59:7a,-76
28,5c:0d:dc:e0:57:9f,-79
29,7a:6c:3d:43:e2:4d,-79
30,30:52:b8:b0:06:54,-79
