,addr,rssi
0,1a:84:0c:7b:c4:fa,-64
1,4e:5f:9f:67:fd:d6,-64
2,54:cd:eb:62:47:78,-75
3,52:1d:c7:ff:a9:20,-70
4,53:ff:77:ef:a6:81,-76
5,d4:9d:c0:7b:e3:f1,-79
6,3c:6a:d5:b0:fb:45,-65
7,71:46:95:b3:bd:03,-79
8,cc:21:1a:d3:1c:84,-75
9,6f:f2:de:ba:48:22,-74
10,43:b5:d1:54:65:93,-79
11,74:90:50:40:59:7a,-70
12,6e:a8:d3:8b:69:40,-79
13,d4:9d:c0:7c:fe:df,-79
14,24:fc:e5:7c:81:95,-79
15,24:9f:26:6a:75:8e,-78
16,fc:0c:f3:b6:07:08,-63
17,28:57:8a:9c:e0:65,-79
18,43:94:7b:d6:24:f5,-79
19,27:84:21:6c:17:38,-79
20,c4:2e:0b:62:5a:12,-79
21,0e:ae:1e:51:a2:6d,-79
22,d4:9d:c0:7d:08:71,-79
23,24:43:fc:8a:93:e4,-78
24,5f:55:6e:bf:7a:69,-76
25,7e:4d:de:b4:c8:6a,-71
26,67:cc:05:87:1d:f2,-79
27,62:f6:5d:40:9f:f1,-67
28,5d:d4:18:46:1b:6e,-78
29,7f:66:4d:18:77:fb,-78
30,e3:9d:05:50:44:65,-73
31,30:dc:89:62:2a:55,-79
32,58:c7:1d:51:b2:94,-79
