,addr,rssi
0,5c:ce:08:f2:66:69,-63
1,5e:d6:63:25:c7:40,-79
2,74:90:50:40:59:7a,-77
3,44:fc:c8:46:1b:47,-64
4,50:26:78:e9:30:9b,-55
5,79:12:3a:67:ac:a2,-77
6,7c:73:2b:a3:75:b3,-78
7,56:fd:4d:51:80:52,-79
8,c8:20:e6:dd:15:35,-66
9,f0:73:3f:97:83:e8,-77
10,4b:dd:ab:f7:c0:14,-79
11,51:76:11:0a:bc:8d,-78
12,63:4e:db:97:d1:be,-79
13,ca:3b:9e:d9:c5:84,-69
14,f6:96:91:26:ed:76,-79
15,0d:d5:b4:42:01:17,-79
16,5e:76:26:81:3f:4e,-79
17,14:d0:15:73:92:a6,-79
18,44:e6:c7:e5:b0:45,-79
19,fb:d9:0e:8c:87:98,-79
20,71:77:3c:7a:da:e0,-79
21,19:98:9d:99:7a:55,-79
22,49:f7:f1:7e:f0:e4,-79
