,addr,rssi
0,a8:99:dc:23:80:34,-64
1,7f:04:35:04:56:68,-78
2,20:a4:01:43:e5:c4,-79
3,c8:29:4c:16:e2:16,-59
4,e1:ed:0f:b9:22:29,-64
5,31:6e:34:43:92:cb,-79
6,74:90:50:40:59:7a,-77
7,00:a0:50:2d:33:88,-79
8,00:20:22:dc:31:13,-79
9,7d:b3:98:df:f2:54,-79
10,59:43:6d:8a:99:a5,-79
11,6a:6a:57:bf:5a:45,-79
12,10:7f:f2:75:5d:1d,-79
13,38:57:2d:6b:87:b9,-77
14,23:0e:75:f5:35:28,-79
15,44:66:88:ec:19:0f,-79
16,e7:45:17:f0:b7:68,-79
17,7d:6f:d8:f0:3e:c4,-79
18,fe:e2:d5:e4:ee:fc,-78
19,f1:f3:35:e4:bd:cf,-79
20,4a:1b:8e:e1:73:38,-79
21,6c:9f:dc:96:68:36,-79
22,ff:da:4b:1f:6a:95,-79
