,addr,rssi
0,6d:5c:57:80:35:7a,-54
1,05:25:3f:23:64:0d,-51
2,26:e4:57:eb:7a:5d,-79
3,59:10:87:74:1b:b6,-79
4,74:90:50:40:59:7a,-73
5,1c:9c:3f:ec:24:c7,-79
6,79:2a:0f:1e:4f:0b,-74
7,5d:c9:93:75:51:26,-79
8,47:4e:56:44:55:80,-79
9,05:06:eb:77:63:fe,-78
10,5f:81:c6:54:70:6a,-79
11,f5:7a:2f:c0:df:f1,-79
12,6d:1f:a6:e1:00:73,-79
13,68:42:49:a8:6c:09,-79
14,d5:e8:61:90:3b:fa,-51
15,70:f3:b4:fe:9c:f1,-79
16,6b:3d:6a:bc:07:df,-79
17,3b:b8:5a:11:7f:da,-79
18,4f:e3:60:34:a2:0a,-79
19,63:9c:6b:76:1d:d1,-79
20,40:b4:d3:ff:bc:c4,-79
21,63:81:f9:28:db:94,-79
22,66:6a:f0:55:cd:60,-79
23,59:de:f3:52:77:0b,-79
24,6d:29:2d:8a:65:38,-79
