,addr,rssi
0,7d:60:7e:21:38:8e,-35
1,74:90:50:40:59:7a,-72
2,63:de:81:ae:3f:ac,-77
3,f4:4d:43:e7:4d:0f,-74
4,1b:ce:74:4c:9f:5d,-73
5,46:ca:33:fa:c7:ec,-78
6,73:97:fa:82:ff:7f,-79
7,37:19:62:74:b1:0c,-79
8,5a:ef:4a:12:97:d4,-79
9,5c:58:b7:70:b7:3d,-79
10,25:c6:d7:bf:0b:f7,-79
11,3f:28:b9:ba:7c:71,-67
12,57:4a:4f:26:1f:7e,-67
13,6d:b6:98:f9:ae:7d,-79
14,1f:18:05:12:07:b7,-78
15,fc:f2:a1:eb:d7:26,-39
16,e4:a6:cc:3f:6b:3c,-77
17,14:65:ca:39:19:40,-79
18,d4:9d:c0:7d:08:71,-79
19,c9:78:5b:cd:fa:df,-56
20,f7:98:32:c2:59:64,-79
21,5e:ed:7a:af:5a:54,-79
22,0a:d5:74:49:59:04,-79
23,d4:9d:c0:7d:1f:5f,-79
24,5b:15:e9:3e:a5:62,-79
25,4a:f5:8f:1e:3e:53,-79
26,60:ff:96:3d:79:14,-77
27,78:04:5a:9d:4a:43,-77
28,72:b4:fc:f7:5c:8b,-78
29,5e:4c:f1:e2:48:02,-78
30,ff:58:bf:3f:5b:3a,-77
31,d4:9d:c0:7d:11:91,-79
32,45:9b:8c:e3:64:fe,-75
33,35:f1:dc:0e:3d:be,-78
