,addr,rssi
0,74:90:50:40:59:7a,-69
1,1c:05:d6:26:af:fa,-77
2,63:cf:a1:bb:e5:e0,-67
3,71:3e:e1:78:fa:49,-73
4,45:fa:2c:31:52:04,-62
5,75:15:18:bf:61:81,-71
6,0f:c7:b5:b2:1e:32,-71
7,27:24:e1:c3:7c:21,-56
8,74:45:ce:d8:e2:7b,-79
9,ff:2e:f7:47:e4:f6,-71
10,d4:36:39:ba:bb:34,-79
11,d4:36:39:ba:bb:4b,-73
12,65:f5:25:4e:76:15,-79
13,1a:79:e7:5d:19:a0,-69
14,e5:d2:3c:3b:6a:b2,-52
15,6a:14:ea:6b:1a:6b,-77
16,50:e0:28:aa:44:02,-79
17,40:c9:21:e1:43:ed,-79
18,ea:e7:03:69:62:f8,-79
19,40:cc:94:66:93:d3,-79
