,addr,rssi
0,28:9b:1b:76:3c:65,-65
1,4f:d8:8c:d1:0e:5e,-64
2,1b:8f:0a:2f:fc:0e,-79
3,df:45:86:9c:15:fd,-67
4,00:a0:50:53:1a:6e,-79
5,68:99:c3:f4:1f:ec,-79
6,72:4b:7c:d7:1f:5f,-79
7,55:bd:f8:6e:61:5d,-78
8,75:55:25:df:b5:90,-78
9,56:47:cf:0c:e3:14,-79
10,00:a0:50:0c:fa:a9,-79
11,73:cb:77:62:91:76,-78
12,4b:cd:fd:a3:26:42,-79
13,66:eb:ee:87:b1:a1,-79
14,63:cb:12:1c:b4:f2,-79
15,00:a0:50:11:96:17,-79
16,08:ea:78:35:e9:5d,-79
17,62:e9:3e:27:b7:a8,-78
18,6c:5c:19:f0:0c:00,-79
19,31:36:55:d1:78:68,-79
20,02:4e:2f:bb:20:ff,-76
21,57:5f:a8:d6:26:21,-79
22,3a:8f:63:d3:99:21,-76
23,23:a8:c3:97:3d:ec,-79
24,6d:88:ea:e3:0d:ab,-76
25,46:53:3a:64:76:ca,-77
26,eb:06:22:53:a7:f3,-78
27,74:90:50:40:59:7a,-77
28,1e:c5:a2:39:13:fd,-72
29,34:74:f2:eb:88:33,-77
30,6b:7c:bc:05:0a:64,-79
31,e8:57:27:cf:ea:61,-79
32,32:75:60:71:c6:6f,-78
33,13:66:fb:64:bb:d9,-72
34,00:a0:50:0d:35:8f,-79
