,scan_time,route_id,busstop_id
0,1638748808,000001,00
1,1638748823,000001,00
2,1638748838,000001,00
3,1638748853,000001,00
4,1638748868,000001,00
5,1638748883,000001,00
6,1638748898,909911,00
7,1638748913,909911,00
8,1638748928,909911,00
9,1638748943,909911,00
10,1638748958,909911,00
11,1638748973,909911,00
12,1638748988,909911,00
13,1638749003,909911,00
14,1638749018,909911,00
15,1638749033,909911,00
16,1638749048,909911,00
17,1638749063,909911,00
18,1638749078,909911,00
19,1638749093,909911,00
20,1638749108,909911,00
21,1638749123,909911,00
22,1638749138,909911,00
23,1638749153,909911,00
24,1638749168,909911,00
25,1638749183,909911,00
26,1638749198,909911,00
27,1638749213,909911,00
28,1638749228,909911,00
29,1638749243,909911,00
30,1638749258,909911,00
31,1638749273,909911,00
32,1638749288,909911,01
33,1638749303,909911,02
34,1638749318,909911,02
35,1638749333,909911,02
36,1638749348,909911,02
37,1638749363,909911,03
38,1638749378,909911,03
39,1638749393,909911,03
40,1638749408,909911,03
41,1638749423,909911,03
42,1638749438,909911,03
43,1638749453,909911,03
44,1638749468,909911,03
45,1638749483,909911,03
46,1638749498,909914,00
47,1638749513,909914,00
48,1638749528,909914,00
49,1638749543,909914,00
50,1638749558,909914,00
51,1638749573,909914,00
52,1638749588,909914,00
53,1638749603,909914,00
54,1638749618,909914,00
55,1638749633,909914,00
56,1638749648,909914,00
57,1638749663,909914,00
58,1638749678,909914,00
59,1638749693,909914,00
60,1638749708,909914,00
61,1638749723,909914,00
62,1638749738,909914,00
63,1638749753,909914,00
64,1638749768,909914,00
65,1638749783,909914,00
66,1638749798,909914,00
67,1638749813,909914,00
68,1638749828,909914,01
69,1638749843,909914,02
70,1638749858,909914,02
71,1638749873,909914,02
72,1638749888,909914,02
73,1638749903,909914,02
74,1638749918,909914,02
75,1638749933,909914,02
76,1638749948,909914,02
77,1638749963,909914,03
78,1638749978,909914,03
79,1638749993,909914,03
80,1638750008,909914,03
81,1638750023,909914,03
82,1638750038,909914,03
83,1638750053,909914,03
84,1638750068,909914,03
85,1638750083,909914,04
86,1638750098,909914,04
87,1638750113,909914,04
88,1638750128,909914,04
89,1638750143,909914,04
90,1638750158,909914,04
91,1638750173,909914,04
92,1638750188,909914,04
93,1638750203,909914,04
94,1638750218,909914,04
95,1638750233,909914,04
96,1638750248,909914,04
97,1638750263,909914,04
98,1638750278,909914,04
99,1638750293,909914,04
100,1638750308,909914,05
101,1638750323,909914,05
102,1638750338,909914,05
103,1638750353,909914,05
104,1638750368,909914,05
105,1638750383,909914,06
106,1638750398,909914,06
107,1638750413,909914,06
108,1638750428,909914,06
109,1638750443,909914,06
110,1638750458,909914,06
111,1638750473,909914,06
112,1638750488,909914,06
113,1638750503,909914,06
114,1638750518,909914,06
115,1638750533,909914,06
116,1638750548,909914,06
117,1638750563,909914,06
118,1638750578,909914,06
119,1638750593,909914,07
120,1638750608,909914,07
121,1638750623,909914,07
122,1638750638,909914,07
123,1638750653,909914,07
124,1638750668,909914,08
125,1638750683,909914,08
126,1638750698,909914,08
127,1638750713,909914,08
128,1638750728,909914,09
129,1638750743,909914,09
130,1638750758,909914,09
131,1638750773,909914,09
132,1638750788,909914,09
133,1638750803,909914,09
134,1638750818,909914,09
135,1638750833,909914,09
136,1638750848,909914,09
137,1638750863,909914,09
138,1638750878,909914,09
139,1638750893,909914,09
140,1638750908,909914,0A
141,1638750923,909914,0A
142,1638750938,909914,0A
143,1638750953,909914,0A
144,1638750968,909914,0A
145,1638750983,909914,0A
146,1638750998,909914,0A
147,1638751013,909914,0A
148,1638751028,909914,0A
149,1638751043,909914,0A
150,1638751058,909914,0A
151,1638751073,909914,0A
152,1638751088,909914,0A
153,1638751103,909914,0A
