,scan_time,route_id,busstop_id
0,1639612801,000001,00
1,1639612816,000001,00
2,1639612831,000001,00
3,1639612846,000001,00
4,1639612861,000001,00
5,1639612876,000001,00
6,1639612892,000001,00
7,1639612907,000001,00
8,1639612922,000001,00
9,1639612937,000001,00
10,1639612951,000001,00
11,1639612966,000001,00
12,1639612981,000001,00
13,1639612996,000001,00
14,1639613011,000001,00
15,1639613026,000001,00
16,1639613041,000001,00
17,1639613056,000001,00
18,1639613071,000001,00
19,1639613087,000001,00
20,1639613102,909911,00
21,1639613117,909911,00
22,1639613131,909911,00
23,1639613146,909911,00
24,1639613161,909911,00
25,1639613176,909911,00
26,1639613191,909911,00
27,1639613206,909911,00
28,1639613221,909911,00
29,1639613236,909911,00
30,1639613251,909911,00
31,1639613267,909911,00
32,1639613282,909911,00
33,1639613297,909911,00
34,1639613312,909911,01
35,1639613326,909911,02
36,1639613341,909911,02
37,1639613356,909911,02
38,1639613371,909911,02
39,1639613386,909911,03
40,1639613401,909911,03
41,1639613416,909911,03
42,1639613431,909911,03
43,1639613446,909911,03
44,1639613462,909911,03
45,1639613477,909911,03
46,1639613492,909911,03
47,1639613506,909911,03
48,1639613521,909911,03
49,1639613536,909911,03
50,1639613551,909911,03
51,1639613566,909911,03
52,1639613581,909914,00
53,1639613596,909914,00
54,1639613611,909914,00
55,1639613626,909914,00
56,1639613641,909914,00
57,1639613657,909914,00
58,1639613672,909914,00
59,1639613687,909914,00
60,1639613701,909914,00
61,1639613716,909914,00
62,1639613731,909914,01
63,1639613746,909914,02
64,1639613761,909914,02
65,1639613776,909914,02
66,1639613791,909914,02
67,1639613806,909914,02
68,1639613821,909914,02
69,1639613837,909914,02
70,1639613852,909914,02
71,1639613867,909914,02
72,1639613882,909914,02
73,1639613896,909914,02
74,1639613911,909914,02
75,1639613926,909914,02
76,1639613941,909914,02
77,1639613956,909914,03
78,1639613971,909914,03
79,1639613986,909914,03
80,1639614001,909914,03
81,1639614016,909914,03
82,1639614032,909914,03
83,1639614047,909914,03
84,1639614062,909914,04
85,1639614076,909914,04
86,1639614091,909914,04
87,1639614106,909914,04
88,1639614121,909914,04
89,1639614136,909914,04
90,1639614151,909914,04
91,1639614166,909914,04
92,1639614181,909914,04
93,1639614196,909914,04
94,1639614211,909914,04
95,1639614227,909914,04
96,1639614242,909914,04
97,1639614257,909914,04
98,1639614271,909914,04
99,1639614286,909914,04
100,1639614301,909914,04
101,1639614316,909914,05
102,1639614331,909914,05
103,1639614346,909914,05
104,1639614361,909914,05
