,addr,rssi
0,40:c1:1e:c4:4a:d0,-72
1,3f:0f:5a:54:ba:a5,-79
2,58:89:d4:d8:2d:a0,-78
3,08:4f:6f:0b:ee:0d,-79
4,54:71:31:99:54:20,-79
5,76:6e:8a:a9:df:bd,-65
6,4c:5e:dd:0a:3b:09,-78
7,62:63:f6:26:66:af,-79
8,55:8b:95:c7:59:23,-79
9,e4:6a:5f:1f:09:ac,-79
10,74:90:50:40:c9:15,-62
11,4c:1d:6b:16:d4:2e,-79
12,63:0b:5f:c3:86:31,-79
13,64:b6:c6:79:eb:c3,-79
14,35:a8:31:97:49:f4,-79
15,79:89:bc:bd:6d:95,-79
16,0f:d8:77:50:90:5d,-79
17,4c:9c:ec:28:e4:3e,-79
18,0c:bf:81:78:be:91,-79
19,2d:78:e8:12:53:a9,-79
20,0a:27:f0:25:66:34,-79
21,74:82:89:9f:7c:fc,-79
22,56:c8:ff:5d:5d:ef,-79
23,02:63:71:f7:66:9b,-79
24,7e:f9:47:6b:9b:69,-79
25,7b:b2:ff:0a:0b:98,-79
26,e8:44:7a:2e:2b:21,-79
27,74:45:ce:23:e8:d3,-79
28,56:a5:fd:8e:4e:e8,-79
29,6e:a3:d3:95:0b:c5,-79
30,61:a4:6a:42:30:b0,-75
31,54:85:6e:97:0c:28,-79
32,5a:48:0a:30:c0:2c,-78
33,74:6d:68:ac:03:5b,-79
