,addr,rssi
0,41:f8:26:83:f4:87,-61
1,7c:e8:04:7f:57:7e,-77
2,70:9b:14:42:f6:f6,-69
3,56:2e:c9:3b:ed:50,-76
4,3a:e7:2a:52:2f:e5,-68
5,66:31:c1:5c:11:d3,-67
6,00:a0:50:ed:4b:8f,-79
7,57:45:1f:a8:00:d7,-78
8,4a:8d:d5:f7:2c:1f,-58
9,49:05:eb:2f:4c:59,-79
10,43:f7:ca:48:cc:c4,-64
11,4d:4c:70:15:b5:41,-73
12,f0:9b:42:90:76:ef,-62
13,54:ca:ce:85:e2:dd,-67
14,db:78:5d:25:a4:14,-66
15,2e:1e:37:56:f5:2c,-61
16,6a:27:a4:17:e9:8d,-79
17,6f:b9:d3:3b:ac:b6,-67
18,74:90:50:40:c9:15,-72
19,ca:27:a6:15:cb:9f,-78
20,41:83:61:5f:5a:7f,-79
21,c4:68:1d:a6:8f:5d,-67
22,eb:68:2a:1d:66:ad,-49
23,42:c4:78:e4:b8:27,-79
24,4f:ee:35:11:58:9d,-79
25,cf:44:e1:51:d0:a2,-63
26,32:2d:3c:71:ad:53,-79
27,c7:35:25:a9:6a:c0,-70
28,22:c2:7c:70:bb:f3,-79
29,1c:09:3f:d1:3c:47,-79
30,43:e5:bc:ba:e0:6b,-79
31,cf:e8:87:c9:10:21,-79
32,11:4b:50:1a:c2:cf,-77
33,77:39:b2:ae:cc:df,-77
34,47:a0:0b:87:0a:43,-72
35,27:c7:31:ad:71:0e,-78
36,47:56:3c:d3:0d:11,-79
37,4c:c8:68:07:71:e6,-79
38,03:d9:16:99:85:50,-77
39,79:4e:1f:74:26:89,-79
40,03:1c:0d:4e:2a:62,-79
41,f1:35:b0:28:5d:b5,-76
42,ee:03:d9:88:0a:39,-79
43,5b:70:ca:f9:bd:43,-73
44,14:e6:ab:e6:44:3b,-79
45,62:e6:4e:ad:96:6d,-79
46,4e:c0:e7:7b:51:f0,-77
47,15:5d:16:c7:a1:db,-79
48,f2:58:74:4f:6d:a3,-79
49,72:7f:b1:fe:2d:e7,-77
50,4a:b4:6c:f4:d8:be,-76
51,fc:00:2b:31:98:94,-75
