,addr,rssi
0,50:0c:25:cc:a6:a5,-66
1,70:d5:d6:9b:28:03,-79
2,57:bb:4d:7e:a2:6e,-73
3,4e:72:c5:75:ce:f2,-79
4,47:08:4c:05:c0:68,-76
5,01:ad:2e:bd:dd:db,-79
6,00:a0:50:c4:24:ee,-79
7,c7:37:96:67:70:0d,-79
8,49:83:59:74:ca:37,-72
9,3c:59:cf:5a:9f:3d,-73
10,51:5a:59:9e:cb:7f,-75
11,e6:82:eb:74:6e:65,-77
12,55:67:39:28:13:3c,-79
13,51:5d:ce:12:82:e4,-79
14,65:79:18:73:a4:10,-77
15,39:1e:c0:79:d5:b2,-79
16,38:07:00:c3:8c:45,-69
17,5a:a9:01:ee:cc:cf,-79
18,74:90:50:40:c9:15,-65
19,26:6d:b1:76:37:b7,-75
20,49:f6:33:3f:65:11,-72
21,4b:c0:56:68:48:a1,-73
22,c9:0a:71:c1:33:e0,-75
23,7a:a2:63:b3:bb:ee,-79
24,4a:36:7b:31:fd:cb,-79
25,f9:a8:2f:eb:40:9e,-79
26,27:f7:da:66:61:da,-78
27,2e:86:72:e9:1b:b4,-74
28,72:51:2e:1c:f7:6e,-79
29,64:3e:4a:a6:22:35,-79
30,5e:7e:1f:6a:38:d1,-79
31,4a:29:92:52:da:9b,-79
32,1e:aa:dd:a8:1d:cd,-79
33,56:28:a3:09:60:a7,-79
34,43:a6:b1:27:e3:5a,-78
35,57:31:57:5e:aa:a8,-79
36,72:13:11:b9:49:84,-79
37,45:a2:9f:c6:8c:1c,-79
