,addr,rssi
0,78:f3:ec:86:01:8e,-60
1,74:90:50:40:c9:15,-64
2,e4:42:a9:84:15:19,-62
3,77:3a:e7:81:f5:dc,-69
4,58:1f:c0:b7:c1:4b,-69
5,0d:96:7b:80:c7:b8,-79
6,5e:1a:6d:bd:e1:85,-79
7,d4:4d:a4:a7:a9:26,-78
8,c4:4c:86:2a:25:e6,-72
9,43:07:e3:57:6d:df,-79
10,7e:6d:71:80:d8:76,-79
11,53:96:8d:78:fa:b0,-79
12,4b:4f:bd:0c:5a:be,-78
13,4d:46:87:b6:96:a4,-72
14,eb:42:77:64:19:57,-79
15,42:aa:5e:b1:69:96,-74
16,5b:e5:b1:14:09:5b,-79
17,78:66:27:66:aa:74,-79
18,5b:da:3e:cb:7d:aa,-73
19,e7:d3:4c:b6:d6:ed,-76
20,04:ee:03:23:ef:db,-77
21,56:d9:c7:8a:71:39,-79
22,73:90:8a:0a:79:fd,-76
23,6e:61:9c:e7:ad:c9,-79
24,16:21:81:14:6c:3a,-76
25,4d:b4:22:8d:e8:0f,-76
