,addr,rssi
0,62:5b:90:c4:b2:3b,-56
1,67:17:ff:0e:be:38,-55
2,16:d2:ab:67:4b:fc,-57
3,f4:53:98:00:c7:d5,-72
4,37:9d:f6:40:11:8e,-72
5,7d:70:13:cb:90:41,-64
6,fa:9d:28:d6:6a:70,-73
7,50:d0:fd:f6:d1:70,-58
8,46:89:ed:93:c6:11,-64
9,41:88:bc:34:bb:74,-58
10,fd:fc:02:83:ea:96,-58
11,52:7e:62:f8:36:ed,-78
12,53:82:9c:fe:4c:8a,-63
13,f9:19:74:30:ed:2b,-65
14,3e:49:5c:c4:f8:a9,-63
15,e7:8c:27:9e:c7:98,-61
16,f7:10:d6:3d:f3:c5,-67
17,e2:57:7d:b0:f3:87,-65
18,74:90:50:40:c9:15,-66
19,4d:b9:db:20:19:98,-76
20,e5:fe:3b:cd:5f:9e,-74
21,62:7f:8e:0a:3a:cd,-79
22,fa:b3:f7:8c:6b:dc,-61
23,0f:ca:9d:a2:c1:9b,-79
24,78:84:be:f6:af:2a,-78
25,53:04:cf:dc:16:0c,-77
26,32:2c:ef:2b:27:f5,-78
27,03:c2:ca:75:1a:cf,-79
28,5f:9f:84:58:cf:ec,-79
29,19:01:31:54:2c:1d,-79
