,addr,rssi
0,74:90:50:40:c9:15,-65
1,79:08:25:88:bd:03,-54
2,74:63:b1:22:ac:1e,-79
3,46:9b:2a:14:3f:e2,-78
4,77:67:02:9c:6e:52,-75
5,6f:5b:fe:1b:dc:50,-73
6,68:dc:91:64:af:94,-79
7,4b:09:9e:b4:b4:c5,-52
8,f0:a3:6c:d0:a3:7c,-63
9,05:b4:f2:11:7e:02,-79
10,56:15:e0:57:5d:2a,-79
11,00:a0:50:10:32:8f,-79
12,73:ae:80:70:81:d1,-79
13,55:b5:39:e5:2e:e4,-78
14,e5:fe:10:9c:83:d5,-75
15,3f:dd:72:32:33:39,-79
16,1e:9d:74:ba:ea:06,-78
17,3c:58:51:97:b9:f3,-79
18,12:4a:ca:1a:bf:18,-72
19,66:d3:07:39:84:02,-77
20,3c:0c:31:01:e8:0b,-79
21,43:5f:d4:00:5a:c0,-77
22,59:20:cf:e7:f6:53,-75
23,0a:c5:b4:9d:9c:59,-78
24,28:4c:b1:7e:ce:b3,-79
25,e2:9f:9d:ed:41:91,-71
