,addr,rssi
0,68:45:15:58:6e:41,-79
1,49:f7:b2:9a:ea:53,-79
2,70:51:38:9c:d1:27,-79
3,1e:26:33:1e:28:ba,-72
4,4f:9c:76:f7:78:ca,-77
5,62:45:e9:42:4f:50,-77
6,18:78:23:44:c0:00,-64
7,7e:ee:60:cf:a4:89,-79
8,48:fd:70:22:15:f9,-76
9,7e:e6:66:57:49:18,-79
10,31:da:f3:1f:c6:07,-79
11,74:90:50:40:c9:15,-64
12,79:6e:b3:0f:b1:00,-76
13,37:ee:a9:93:e9:f1,-79
14,72:85:0f:b1:72:59,-78
15,5d:b5:a9:97:5d:b2,-79
16,10:4a:bd:bb:7d:7e,-77
17,c7:03:99:e8:97:b9,-77
18,d1:46:74:11:4e:64,-79
19,5b:be:3c:2b:27:86,-79
20,0b:d8:ab:78:b4:a0,-79
21,cf:18:8c:24:00:a2,-79
22,5c:99:eb:23:67:21,-77
23,54:7a:4a:74:45:76,-79
24,69:e6:88:8d:35:db,-79
25,4d:9a:12:38:5f:b7,-73
26,4a:b1:db:c4:b5:8e,-78
27,10:80:9a:03:0b:78,-78
28,62:04:13:7a:d3:76,-75
29,5c:b1:c9:50:8d:89,-74
30,57:82:cf:e5:df:5d,-76
31,6d:99:f8:57:c0:b9,-79
32,11:95:9c:6c:c3:28,-79
33,29:df:3f:71:dc:2e,-76
34,0b:3f:6b:0f:7f:48,-79
35,67:12:58:71:eb:4b,-78
36,2c:32:e6:5d:e3:e4,-79
37,7f:28:bb:7f:5c:d0,-76
38,26:d2:88:f2:3d:83,-79
39,22:f9:51:28:c6:cf,-77
40,6e:dd:3d:24:4d:59,-79
41,f7:c6:6a:29:65:14,-79
42,37:a1:e7:31:f6:d8,-79
43,00:94:ba:dd:0c:0e,-77
44,28:11:a5:54:8b:50,-79
45,38:4b:e0:84:21:df,-79
46,47:ca:72:9f:31:70,-71
47,6e:f9:ad:96:78:eb,-79
48,76:6b:b7:23:2e:f0,-70
49,2b:e0:08:5b:8c:57,-78
50,50:74:99:0f:e8:33,-76
51,6e:a6:0a:12:46:8a,-74
52,23:70:17:57:02:f4,-79
53,6b:2e:c3:31:e1:29,-79
54,65:89:42:f0:7a:7f,-79
55,f7:19:3a:a0:26:a6,-78
56,7d:18:ac:91:65:2e,-79
57,45:cd:75:50:41:fe,-79
58,70:03:86:2f:3a:dd,-78
