,addr,rssi
0,47:12:57:86:28:67,-59
1,6f:49:4f:5f:8b:0e,-68
2,49:ca:1c:32:90:9e,-53
3,21:ba:85:88:01:9c,-60
4,49:3a:86:cc:8f:33,-78
5,4b:86:96:c2:b8:4c,-69
6,4f:80:67:1e:d0:ba,-62
7,ee:f3:6a:db:48:47,-62
8,3d:9e:03:41:ec:c4,-63
9,69:06:7b:23:20:aa,-74
10,6a:4c:ef:f4:15:20,-73
11,e0:4f:de:35:90:4f,-79
12,6d:0e:0b:ed:f1:7a,-79
13,6d:ed:1e:18:43:1f,-79
14,db:d0:e3:21:73:56,-69
15,74:90:50:40:c9:15,-69
16,55:d3:e1:b4:14:ff,-79
17,38:ee:68:74:16:ac,-72
18,50:c4:0a:6b:63:19,-74
19,5e:0e:ff:68:00:f1,-78
20,5b:7a:11:3c:c9:26,-77
21,cc:fc:8e:70:d9:6d,-78
22,d3:25:d5:1c:c1:36,-79
23,77:60:fe:09:01:27,-77
24,61:e6:32:e4:fb:45,-77
25,e5:9f:0c:4c:85:ce,-72
26,74:e4:6c:b6:3a:ae,-79
