,addr,rssi
0,5e:64:a3:4c:04:b0,-69
1,7e:34:90:c4:b2:e8,-62
2,1f:18:8f:0f:9d:e8,-77
3,48:a6:54:b5:3a:51,-65
4,7f:1a:ce:6a:29:41,-77
5,d7:4a:f4:7c:50:29,-79
6,74:90:50:40:c9:15,-68
7,7b:a1:b7:a8:17:e4,-79
8,f5:d5:7c:bb:97:7c,-69
9,62:e0:a1:aa:22:b6,-79
10,63:20:24:50:fe:ec,-79
11,52:6e:5e:70:e9:37,-79
12,44:be:64:44:87:e2,-79
13,68:4c:03:a2:5f:04,-75
14,68:10:c2:b0:9c:cb,-76
15,f3:e6:09:70:41:19,-70
16,ea:d4:fd:d8:ac:58,-78
17,da:e4:c3:67:7b:5d,-63
18,55:96:65:d7:59:d5,-73
19,5c:16:d8:f4:9f:86,-69
