,addr,rssi
0,4d:12:eb:83:a4:bc,-75
1,7d:a5:81:c7:44:a2,-79
2,78:c6:5f:50:39:20,-77
3,71:ff:8f:81:c1:ac,-71
4,6e:3d:2e:13:62:98,-76
5,46:5f:88:d2:2f:90,-79
6,72:09:ff:25:b9:c2,-79
7,fb:60:2c:ad:d4:53,-75
8,78:4c:2a:96:b7:59,-77
9,52:51:b3:32:43:65,-79
10,f7:5b:ed:34:d2:14,-77
11,65:01:d6:11:c7:6b,-78
12,55:7c:a6:0d:e3:3a,-75
13,74:90:50:40:c9:15,-62
14,61:60:a6:83:9a:4e,-72
15,01:18:be:96:ce:12,-78
16,2d:9f:4d:c7:68:e1,-78
17,70:23:85:a4:2c:63,-79
18,ea:ca:09:13:5b:7e,-79
19,f5:1f:0f:da:ae:19,-75
20,d1:5f:d6:57:bc:59,-79
21,09:8f:08:22:90:b7,-79
22,77:37:45:8d:34:b7,-75
23,d3:ef:68:dd:40:a3,-78
24,52:52:38:9c:40:97,-79
25,fd:b8:71:9a:d6:e1,-76
26,0a:7e:b8:3b:5d:a0,-79
27,42:44:b4:7f:dd:b0,-75
28,06:24:0b:68:06:50,-79
29,7b:08:ed:51:f4:ba,-79
30,52:45:06:55:f5:53,-79
31,70:32:60:7c:1b:11,-79
32,78:8b:ec:8b:11:2d,-73
