,addr,rssi
0,28:da:52:50:62:bc,-76
1,68:0d:a1:1c:1d:a1,-79
2,6c:45:04:ec:a5:fc,-79
3,74:90:50:40:c9:15,-67
4,13:65:d0:f6:e2:97,-76
5,19:01:18:23:7e:7b,-78
6,6d:12:a3:b0:92:99,-77
7,59:c0:5b:e5:96:aa,-79
8,79:ba:9d:d4:d0:03,-76
9,29:6c:94:50:5d:2a,-79
10,5a:48:67:f4:2c:58,-79
11,54:69:92:24:bd:c7,-78
12,31:e3:44:66:af:a4,-76
13,13:af:c2:b6:ed:0e,-74
14,c2:36:32:56:a7:91,-78
15,4b:8d:32:bf:2b:c7,-77
16,04:7d:f2:d7:bd:ab,-77
17,6b:ac:4a:85:ad:1a,-79
18,60:40:df:18:68:09,-79
19,03:e1:04:ed:cf:85,-79
20,73:6b:4f:2c:f8:cc,-75
21,60:24:79:d7:27:e8,-79
22,62:d8:88:91:43:c5,-79
23,37:59:3c:86:49:eb,-77
24,1f:bb:15:f9:bd:a2,-72
