,addr,rssi
0,7d:c0:4f:d2:ab:3f,-78
1,05:f2:e9:35:1c:7e,-79
2,7a:f2:a5:b1:1d:0d,-79
3,5d:3c:8a:b7:36:3b,-78
4,d0:1a:53:0d:6d:f2,-65
5,7d:2f:73:9b:24:3e,-75
6,74:90:50:40:c9:15,-68
7,49:11:04:47:1b:22,-78
8,71:d1:cd:42:ba:1b,-73
9,05:81:1b:39:43:1e,-75
10,40:f0:83:5e:38:80,-79
11,59:a8:67:9e:e2:63,-79
12,49:57:49:43:9c:65,-79
13,c0:9a:46:9a:d9:a2,-76
14,65:35:c1:0b:29:39,-79
15,65:0e:83:a3:85:33,-79
16,6c:1c:a9:33:91:4b,-79
17,6e:0c:be:80:19:fb,-79
18,f3:fb:a6:dc:70:04,-79
19,e9:6a:4d:41:e1:f2,-76
20,2a:7f:94:33:ec:d3,-79
21,67:28:59:56:37:c6,-75
