,addr,rssi
0,40:eb:e6:51:8b:9b,-71
1,69:66:80:e1:51:8c,-62
2,2a:90:94:72:0c:18,-79
3,e6:c2:9a:1b:10:b5,-62
4,32:39:ab:16:c4:20,-71
5,20:2e:8f:25:59:75,-79
6,53:72:61:c6:dc:7f,-66
7,c4:49:bb:3f:5d:28,-71
8,72:1a:a7:48:54:90,-79
9,63:8e:2b:62:84:e8,-79
10,79:6b:0d:1e:83:3f,-79
11,65:25:ce:8c:3a:1c,-69
12,6b:a6:10:15:cc:11,-78
13,2b:d4:8e:55:12:4c,-78
14,41:ff:90:2b:7e:c6,-79
15,74:90:50:40:c9:15,-75
16,c7:7c:ba:98:0c:e3,-71
17,5e:7f:90:ec:19:c6,-79
18,d2:4f:99:c7:ea:19,-65
19,0b:9c:b0:66:3a:1d,-79
20,6c:44:c1:38:23:55,-71
21,75:06:bf:69:41:93,-79
22,7c:48:15:72:19:b4,-79
23,33:9b:90:03:13:eb,-78
24,6c:d7:fc:9a:c1:c5,-78
25,00:a0:50:2d:33:88,-79
26,30:4d:73:1d:10:dc,-70
