,addr,rssi
0,07:69:0f:0d:e4:45,-78
1,6d:fe:df:e2:61:c7,-79
2,67:3b:cb:96:56:ad,-74
3,4e:98:ad:ca:1a:b6,-56
4,74:1b:af:c5:76:52,-79
5,43:d4:e5:cb:4c:6c,-72
6,76:02:30:13:ba:ea,-79
7,17:a4:da:5a:8c:ae,-79
8,ed:2a:df:ad:40:26,-78
9,74:90:50:40:c9:15,-63
10,d9:64:b5:7b:ca:8a,-72
11,5a:2e:4a:9d:b3:97,-79
12,67:da:62:5c:0f:29,-79
13,67:fb:ab:07:af:5e,-77
14,df:a7:cb:9c:28:ec,-59
15,04:e7:cd:2d:f5:2f,-79
16,ec:2a:15:ec:15:24,-77
17,7b:62:5f:ad:47:98,-79
18,64:1e:86:5b:9e:8f,-79
19,6f:cb:6d:d1:c4:13,-79
20,75:d9:f6:51:3a:86,-79
21,c1:09:42:ba:a5:f6,-79
22,f2:de:12:c7:e8:a2,-79
23,d4:bb:08:57:f7:31,-79
24,00:a0:50:c5:67:6d,-79
25,67:a2:7f:08:31:f0,-75
26,6a:71:12:ea:91:49,-79
27,d3:94:6e:98:26:ed,-72
28,c7:ae:76:e7:e9:5e,-79
29,c6:36:a5:e9:75:89,-79
30,09:24:d2:8a:de:f5,-79
31,ed:9a:4f:d1:1b:e4,-75
32,dc:69:b2:b9:1f:56,-79
33,5a:4e:de:98:1e:bc,-79
