,addr,rssi
0,0b:07:b6:96:a5:e1,-67
1,6b:50:4e:d8:e3:1f,-79
2,62:e9:7c:96:04:41,-79
3,3b:7d:33:4c:ee:67,-75
4,4b:49:3a:06:a5:0e,-63
5,1b:cc:dd:cd:e1:65,-79
6,74:90:50:40:c9:15,-64
7,7a:f3:97:90:1f:df,-79
8,5c:a2:74:c1:f7:f3,-79
9,54:27:8d:70:5f:34,-74
10,26:17:66:2c:7d:2b,-79
11,31:09:b1:4c:80:20,-79
12,7a:f4:a8:3b:8d:6f,-79
13,64:f1:2f:fc:ec:12,-74
14,f4:b2:7d:2f:0e:7e,-79
15,73:d5:88:1f:d8:90,-77
16,43:84:13:51:0b:0e,-75
17,ef:2c:20:5d:1d:10,-78
18,52:75:1f:85:07:ad,-78
19,60:f1:89:bf:29:37,-75
