,addr,rssi
0,7e:3b:e1:ec:2b:55,-62
1,f1:8e:93:c4:cb:e6,-79
2,45:1d:16:2b:d1:0a,-79
3,74:90:50:40:c9:15,-68
4,f0:fd:a3:1e:cb:bd,-67
5,5d:4a:f3:19:e5:07,-79
6,4f:99:e9:27:ef:b4,-79
7,0c:ff:4a:98:6b:07,-79
8,d3:87:35:43:f3:ae,-79
9,46:a5:3c:7f:f9:2f,-79
10,db:67:ce:47:cb:be,-78
11,76:eb:bf:fc:00:01,-77
12,7e:88:88:e0:57:e4,-79
13,72:70:ff:31:46:ee,-79
14,3f:6e:f7:f6:70:0a,-79
15,40:71:56:63:ec:10,-79
16,c9:fa:2d:86:42:04,-79
17,31:ea:9b:e5:1b:64,-79
18,6b:25:bb:f1:e2:05,-79
19,55:00:e9:67:77:44,-78
20,60:fd:01:ff:53:fd,-79
21,59:b2:e3:ee:46:f1,-79
22,3c:7b:b2:81:07:a5,-77
