,addr,rssi
0,78:84:98:e3:82:ca,-76
1,1e:46:17:d6:d3:20,-73
2,68:46:96:39:49:17,-65
3,6c:5b:42:06:b9:cb,-64
4,52:d6:ec:fd:31:34,-78
5,08:1c:db:d9:3d:7b,-79
6,54:fe:57:c0:a8:76,-79
7,4a:b2:e8:a7:c7:1c,-68
8,72:a7:f7:cb:36:4b,-77
9,4b:46:b2:f6:e1:94,-79
10,42:58:6e:73:00:c3,-78
11,df:aa:ca:88:38:05,-75
12,76:0a:3c:6e:83:1d,-79
13,40:56:3b:7c:cb:c7,-74
14,41:2d:76:30:42:49,-64
15,5e:e4:1c:a8:f1:84,-70
16,76:8d:04:ef:e8:4f,-79
17,74:90:50:40:c9:15,-65
18,62:d7:15:0e:23:ad,-79
19,54:6b:6b:51:06:b8,-79
20,ea:a5:f1:e0:b3:22,-72
21,38:a1:a9:d2:5a:55,-79
22,7a:66:f6:b0:4f:d3,-79
23,69:c6:12:09:dd:98,-77
24,e7:5a:64:96:12:99,-79
25,dc:cc:bc:fa:e6:42,-77
26,19:25:29:0e:d1:f4,-79
27,79:f6:64:14:0d:f8,-74
28,7a:00:dc:12:83:05,-79
29,43:45:1a:f1:3a:86,-79
30,45:ac:79:ea:89:5e,-79
31,d2:41:3e:90:ea:0e,-77
32,62:2d:33:23:c5:78,-77
33,56:16:c8:cc:13:e2,-78
34,78:09:cd:4a:35:1e,-78
35,40:18:5c:aa:60:00,-79
36,a0:cc:2b:42:bc:69,-79
37,5d:89:31:a3:1a:28,-79
38,04:75:42:c0:13:e9,-76
39,db:4e:34:ea:f6:91,-69
40,6d:32:bb:93:5c:3e,-79
41,36:65:dd:97:c7:a2,-76
42,4d:e2:d6:87:66:56,-79
