,addr,rssi
0,69:27:d2:34:fd:0b,-77
1,74:90:50:40:c9:15,-70
2,7d:70:13:cb:90:41,-60
3,75:67:2a:1f:49:9c,-61
4,7f:0c:11:9e:7a:8e,-66
5,39:f6:bf:b5:d0:73,-65
6,41:8f:5e:94:7c:32,-79
7,6e:50:ca:f7:97:de,-76
8,01:8e:fa:75:22:53,-61
9,50:d0:fd:f6:d1:70,-67
10,fd:fc:02:83:ea:96,-64
11,c4:3c:62:41:0d:eb,-78
12,51:79:db:35:d0:d2,-79
13,db:d2:6b:c7:ca:57,-64
14,f4:e7:2b:25:64:e5,-62
15,f8:03:07:37:3d:3d,-61
16,68:31:63:42:04:52,-79
17,f9:04:1a:14:32:64,-79
18,47:79:7d:59:96:21,-79
19,46:36:3c:e3:b4:ce,-79
20,5b:d7:a2:69:36:d4,-77
21,00:a0:50:cc:66:ed,-79
