,addr,rssi
0,51:dd:e1:dc:3c:ce,-66
1,7c:b3:51:d8:60:f2,-72
2,5e:3d:3d:9d:05:43,-55
3,4c:87:5d:65:d2:3d,-65
4,03:43:5e:77:67:5b,-79
5,79:bd:de:ed:5f:3d,-77
6,4c:87:5d:65:68:c7,-67
7,44:f8:94:61:d3:8e,-79
8,ff:72:75:c4:25:05,-79
9,e5:35:16:ce:ae:8b,-79
10,5b:18:11:57:f6:7c,-79
11,74:90:50:40:c9:15,-65
12,53:6b:1d:6b:88:5d,-79
13,ed:c8:fc:4f:71:bc,-79
14,7d:51:02:52:0b:ba,-79
15,ea:1f:5d:74:62:27,-79
16,e4:78:fb:6d:48:5c,-79
17,46:cf:5b:ec:27:b5,-79
18,7f:ce:0e:48:63:a6,-78
19,0e:24:5e:cd:fb:90,-77
