,addr,rssi
0,43:f7:ca:48:cc:c4,-63
1,2e:1e:37:56:f5:2c,-69
2,74:90:50:40:c9:15,-72
3,4d:4c:70:15:b5:41,-64
4,41:f8:26:83:f4:87,-63
5,66:31:c1:5c:11:d3,-66
6,72:43:65:5e:5a:e9,-70
7,54:4a:05:83:84:c0,-72
8,5c:31:3e:05:6b:13,-78
9,4a:8d:d5:f7:2c:1f,-47
10,57:45:1f:a8:00:d7,-75
11,db:78:5d:25:a4:14,-66
12,e6:e7:4f:e5:08:ff,-65
13,75:16:f2:da:98:1c,-77
14,14:0c:07:d3:b0:1d,-72
15,eb:68:2a:1d:66:ad,-63
16,c2:60:cf:5f:6e:87,-46
17,dd:c2:9f:96:22:7a,-79
18,eb:16:e6:27:77:d1,-68
19,7e:32:c3:d2:af:61,-77
20,6f:b9:d3:3b:ac:b6,-76
21,0a:52:79:33:c0:39,-79
22,42:c4:78:e4:b8:27,-79
23,d4:36:39:ba:c1:e7,-79
24,27:cd:5a:f1:7e:14,-66
25,5d:34:74:8f:51:b5,-64
