,addr,rssi
0,73:7a:a9:e4:0a:eb,-59
1,00:a0:50:1d:72:19,-74
2,5e:66:5e:e7:19:a7,-60
3,67:ba:3e:68:9e:ca,-73
4,73:34:9c:20:b7:13,-79
5,67:b5:fe:0d:60:5b,-56
6,3c:2a:9c:b7:a0:2a,-66
7,37:51:2a:60:c8:b6,-67
8,4f:7f:31:08:79:ad,-75
9,72:02:34:e5:b5:80,-57
10,f8:98:ef:4d:49:3a,-65
11,57:a7:3f:c6:5e:b5,-68
12,0c:42:08:af:04:45,-79
13,50:da:8e:15:0f:67,-79
14,55:62:54:e0:85:ad,-75
15,cc:1c:21:5b:cc:75,-59
16,e1:26:d7:f9:ef:48,-48
17,f1:ec:91:38:75:d9,-61
18,e1:bb:c2:0b:ca:95,-63
19,fd:2e:32:b9:97:56,-77
20,e4:2c:53:6d:86:97,-68
