,addr,rssi
0,47:82:ad:5e:6a:ac,-76
1,4b:67:84:35:29:88,-76
2,79:c4:31:87:1c:50,-64
3,35:f2:8a:0d:a5:85,-61
4,16:b3:b7:7c:dc:d1,-78
5,00:a0:50:10:32:de,-79
6,6b:2a:da:a4:5f:62,-79
7,6e:15:fa:70:c9:70,-75
8,4a:88:12:64:38:54,-75
9,5e:b3:93:e7:33:a8,-78
10,50:7a:c9:fd:4d:f1,-75
11,61:59:aa:f8:dc:12,-78
12,62:21:9c:76:da:26,-75
13,6b:d5:82:2e:aa:79,-79
14,fc:70:78:53:d2:70,-79
15,53:38:4d:dc:62:ae,-79
16,74:90:50:40:c9:15,-65
17,f5:92:b2:e0:84:4f,-53
18,22:f0:05:4c:59:9c,-79
19,c8:ad:be:5c:19:0d,-74
20,f7:f1:7f:a9:c2:13,-79
21,19:0e:9e:1d:20:04,-75
22,3d:73:91:1a:fa:b1,-73
23,6d:a2:ce:28:bc:8c,-79
24,2b:b6:42:9e:65:22,-75
25,4d:0f:81:f8:25:f3,-72
26,7b:d9:ef:93:12:0e,-77
27,73:73:62:44:0d:91,-79
28,49:75:90:36:0c:70,-79
29,0a:38:bc:2f:a3:25,-79
30,7f:d9:29:84:c8:bd,-75
31,75:91:e1:e9:d5:31,-79
32,d8:97:be:fd:90:a9,-77
33,76:b8:21:f7:65:e6,-74
34,42:8c:ab:e8:15:59,-76
35,1f:62:ea:08:4c:e3,-76
36,6c:ae:8b:6e:98:14,-79
37,7e:64:74:e0:c4:07,-79
38,72:1a:37:40:f2:50,-75
39,49:68:65:b6:41:de,-77
40,08:66:98:ea:60:6f,-75
41,4d:23:64:a6:aa:32,-74
42,79:ac:b3:71:0f:24,-76
43,7a:8f:f3:3d:02:3f,-79
44,19:50:66:23:11:8a,-79
45,74:c2:3e:1e:7f:67,-79
46,06:f8:e8:5f:95:2a,-77
47,34:c6:e8:16:27:87,-73
48,00:a0:50:11:96:17,-79
49,00:a0:50:11:96:6a,-79
50,d6:7a:c0:d9:ea:10,-79
51,19:40:6f:97:09:a2,-79
52,cf:bb:ba:99:6f:9d,-79
53,76:c6:ae:56:6b:96,-72
54,4d:a2:87:e9:44:90,-73
55,40:83:4b:34:5a:8a,-79
56,76:73:32:40:aa:6f,-79
57,6d:df:cc:2d:b1:bb,-79
58,5b:6d:7b:b0:0d:82,-79
59,74:ba:00:8a:d1:af,-72
60,58:b2:d1:22:d7:40,-79
61,0c:c8:44:13:43:3a,-78
62,6e:0e:9b:d4:69:a0,-64
