,addr,rssi
0,64:41:5f:8a:32:9c,-54
1,74:90:50:40:c9:15,-65
2,44:b1:98:ff:ce:66,-71
3,1d:4d:43:a3:92:b0,-79
4,00:a0:50:d6:66:a6,-79
5,33:b8:77:85:23:42,-68
6,e3:1e:22:1f:b8:25,-57
7,da:50:75:6d:02:92,-71
8,4d:db:79:e3:71:a3,-79
9,43:d8:03:4a:62:d9,-79
10,49:f2:74:a3:28:e0,-79
11,49:2c:83:23:f3:c5,-79
12,c4:29:da:6b:29:63,-74
13,f3:0c:d8:92:fc:e9,-77
14,49:9e:d6:c9:d3:c2,-79
15,60:dc:45:13:d5:a2,-79
16,c0:00:9f:7c:c8:26,-74
17,2c:fc:f3:7a:f7:0f,-68
18,53:ab:db:33:89:68,-79
19,e5:77:4d:a4:14:1d,-79
