,addr,rssi
0,5a:ae:79:97:b5:72,-56
1,7e:d7:ab:6b:86:38,-53
2,48:4d:56:00:e2:80,-76
3,6b:77:fc:4f:48:1a,-77
4,08:11:12:d4:12:29,-79
5,0c:04:f6:e0:73:b4,-72
6,55:ef:42:2f:28:63,-69
7,65:61:c9:15:9f:3e,-71
8,26:f9:c9:dc:26:93,-56
9,f1:b8:45:fd:ca:3f,-64
10,d5:87:2f:4f:24:ab,-79
11,74:90:50:40:c9:15,-68
12,30:42:11:b9:34:21,-79
13,d9:50:83:5e:e2:40,-65
14,5c:80:c9:53:b5:84,-76
15,5f:8b:05:df:e9:27,-79
16,4d:16:e9:a6:88:5e,-75
17,62:78:5f:2d:5f:1b,-71
18,74:90:86:87:44:04,-78
19,2e:52:f6:58:14:a7,-79
20,68:35:c5:0c:cf:44,-79
21,fd:8c:19:95:3c:18,-79
22,15:b8:73:86:e7:95,-79
23,74:b2:4b:57:b2:ce,-79
24,7f:e6:8f:2b:52:17,-79
25,4d:9e:98:af:e8:8f,-79
26,5a:78:9a:92:0f:6b,-79
27,72:d3:8d:da:f8:5b,-79
28,c1:a2:88:40:12:ee,-79
29,7d:78:38:a5:f7:90,-79
30,48:6e:fc:0b:f8:22,-77
31,4c:08:72:1a:3d:6f,-79
32,5e:1f:30:51:2a:1c,-79
33,0d:9c:3f:91:75:ff,-77
34,65:61:b3:0f:2a:19,-79
35,3b:44:22:34:c0:79,-79
36,de:9e:dc:6c:52:fd,-79
37,63:9b:73:14:85:1e,-79
38,49:b1:2d:c3:68:ea,-77
39,12:b6:06:f7:a5:db,-79
